출발지,목적지,경로ID,계단,엘리베이터,경사,추천대상,안내문,장애물,편의시설,내부안내,데이터출처,마지막확인일,검증여부
명신관,새힘관,A,없음,있음,1,"목발, 휠체어",명신관에서 엘리베이터를 타고 6층으로 올라가 새힘관과 이어지는 통로로 이동,,,,,2026. 5. 21,TRUE
명신관,진리관,B,없음,없음,1,"목발, 휠체어",명신관에서 진리관으로 나와 평지로 이동명신관 1층 뒤 엘리베이터를 등지고 오른쪽 문으로 나가면 바로 진리관. 진리관 2층 찔꼴이 명신 2층과 가장 가까움.,,,,,2026. 5. 21,TRUE
새힘관,명신관,C,없음,없음,1,"목발, 휠체어",새힘관에서 엘리베이터를 타고 올라가면 명신관이랑 이어지는 길이 나옴,,,,,2026. 5. 19,TRUE
새힘관,행정관,D,없음,있음,1,"목발, 휠체어",새힘관에서 나와 잔디를 지나 행정관으로 이동,,,,,2026. 5. 22,TRUE
행정관,새힘관,E,없음,있음,2,"목발, 휠체어",행정관에서 엘리베이터를 타고 3층으로 올라가 잔디를 따라 새힘관으로 이동,,,,,2026. 5. 19,TRUE
행정관,학생회관,F,없음,없음,1,"목발, 휠체어",행정관 1층에서 나와 학생회관 1층으로 이동,,,,,2026. 5. 19,TRUE
행정관,정문,G,없음,있음,1,"목발, 휠체어",행정관에서 엘리베이터를 타고 1층으로 내려가면 바로 앞에 정문이 있음,,,,,2026. 5. 19,TRUE
학생회관,행정관,H,없음,없음,1,"목발, 휠체어",학생회관 1층에서 나와 행정관 1층으로 이동,,,,,2026. 5. 22,TRUE
학생회관,정문,I,없음,없음,1,"목발, 휠체어",학생회관 1층에서 나와 정문으로 이동,,,,,2026. 5. 22,TRUE
순헌관,명신관,J,없음,없음,2,"목발, 휠체어",순헌관 정문 옆 경사로로 내려와 후문쪽 경사로로 가서 명신관과 진리관 사이로 올라가면 계단 없이 명신관 출입 가능,,,,,2026. 5. 21,TRUE
순헌관,새힘관,K,없음,있음,1,"목발, 휠체어",순헌관 정문 옆 경사로로 내려와 후문쪽 경사로로 가서 명신관에 들어간 후 엘레베이터 타고 6층으로 올라가면 새힘관과 연결,,,,,2026. 5. 22,TRUE
순헌관,진리관,L,없음,있음,1,"목발, 휠체어","진리관과 순헌관의3,4,5층이 이어져 있음. 순헌관에서 엘레베이터를 타고 내려서 진리관 연결 통로라고 적힌 복도쪽으로 쭉 가면 진리관과 연결",,,,,2026. 5. 21,TRUE
진리관,명신관,M,없음,없음,1,"목발, 휠체어",진리관 왼쪽 출입문에서 경사로를 타고 후문쪽으로 올라가면 명신관 우측 뒤에 뒷문이 있음.,,,,,2026. 5. 21,TRUE
진리관,새힘관,N,없음,있음,1,"목발, 휠체어",진리관 왼쪽에서 명신관 뒷문으로 들어와서 6층으로 올라가서 좌측 복도로 쭉가면 새힘관으로 넘어갈 수 있음. 새힘관에서 다시 엘레베이터 이용.,,,,,2026. 5. 19,TRUE
진리관,순헌관,O,없음,있음,1,"목발, 휠체어"," 진리관과 순헌관의3,4,5층이 이어져 있음. 진리관에서 엘레베이터를 타고 올라가서 복도로 쭉가면 순헌관과 연결됨.",,,,,2026. 5. 22,TRUE
정문,행정관,P,없음,없음,1,"목발, 휠체어",정문 바로 좌측으로 꺾어 행정관 이동.,,,,,2026. 5. 19,TRUE
정문,학생회관,Q,없음,없음,1,"목발, 휠체어",정문 바로 우측으로 꺾어 학생회관  1층으로이동.,,,,,2026. 5. 19,TRUE
정문,프라임관,R,없음,없음,1,"목발, 휠체어",2캠퍼스 정문에서 바로 프라임관 확인가능,,,,,2026. 5. 19,TRUE
정문,다목적관,S,없음,없음,1,"목발, 휠체어",2캠퍼스 정문 왼쪽의 자동문을 열고 가면 오르막 없이 바로 다목적관 후문으로 이동할 수 있음,자동문은 학생증을 찍어야 열림,,,,2026. 5. 22,TRUE
정문,과학관,T,없음,없음,1,"목발, 휠체어",2캠퍼스 정문 왼쪽의 자동문을 열고 가면 오르막 없이 바로 과학관으로 이동할 수 있음,자동문은 학생증을 찍어야 열림,,,,2026. 5. 22,TRUE
정문,중앙도서관,U,없음,없음,1,"목발, 휠체어",2캠퍼스 정문 왼쪽의 자동문을 열고 가면 오르막 없이 중앙도서관으로 갈 수 있음,자동문은 학생증을 찍어야 열림,,,,,TRUE
프라임관,정문,V,없음,없음,1,"목발, 휠체어",프라임관 지하 1층에서 내려 밖으로 나오면 바로 정문,,,,,,TRUE
프라임관,눈꽃광장,W,없음,없음,1,"목발, 휠체어",프라임관에서 엘리베이터를 타고 1층에서 내리면 눈꽃광장이 나옴,,,,,,TRUE
프라임관,다목적관,X,없음,없음,1,"목발, 휠체어",프라임관에서 나와 신호등을 건너면 자동문이 나옴 자동문 바로 앞에 다목적관 뒷문이 있음,자동문은 학생증을 찍어야 열림,,,,2026. 5. 20,TRUE
프라임관,과학관,Y,없음,없음,1,"목발, 휠체어",프라임관에서 나와 신호등을 건너면 자동문이 나옴 이어진 골목으로 들어가면 과학관이 나옴 ,자동문은 학생증을 찍어야 열림,,,,2026. 5. 20,TRUE
프라임관,중앙도서관,Z,없음,없음,1,"목발, 휠체어",프라임관에서 나와 신호등을 건너면 자동문이 나옴 이어진 골목으로 들어가면 도서관이 나옴,자동문은 학생증을 찍어야 열림,,,,2026. 5. 20,TRUE
프라임관,백주년기념관,AA,없음,없음,1,"목발, 휠체어",프라임관에서 엘리베이터를 타고 1층으로 올라와 눈꽃광장 가기전 골목으로 들어가면 백주년기념관이 있음,,,,,,TRUE
눈꽃광장,프라임관,AB,없음,없음,1,"목발, 휠체어",눈꽃광장에서 나와 바로 앞에 문을 열고 들어가면 프라임관이 나옴,,,,,2026. 5. 20,TRUE
눈꽃광장,미술대학,AC,없음,없음,1,"목발, 휠체어",눈꽃광장 홀로 들어간 뒤 안쪽으로 걸어가면 연결된 건물이 나옴,,,,,2026. 5. 20,TRUE
눈꽃광장,음악대학,AD,없음,없음,1,"목발, 휠체어",눈꽃광장 홀로 들어간 뒤 안쪽으로 걸어가면 연결된 건물이 나옴,,,,,2026. 5. 21,TRUE
눈꽃광장,약학대학,AE,없음,없음,1,"목발, 휠체어",눈꽃광장 홀로 들어간 뒤 안쪽으로 걸어가면 연결된 건물이 나옴,,,,,2026. 5. 19,TRUE
눈꽃광장,백주년기념관,AF,없음,없음,1,"목발, 휠체어",눈꽃광장 홀로 들어간 뒤 안쪽으로 걸어가면 연결된 건물이 나옴,,,,,2026. 5. 22,TRUE
미술대학,눈꽃광장,AG,없음,없음,1,"목발, 휠체어",눈꽃광장에서 오른쪽 골목으로 꺾으면 바로 백주년 기념관이 나옴,,,,,2026. 5. 19,TRUE
미술대학,음악대학,AH,없음,없음,1,"목발, 휠체어",미술대학 지하 1층으로 내려가면 음악대학과 이어지는 공간이 나옴,,,,,2026. 5. 19,TRUE
음악대학,눈꽃광장,AI,없음,없음,1,"목발, 휠체어",음악대학 지하 1층으로 내려가면 눈꽃광장홀로 가는 문이 나옴,,,,,2026. 5. 19,TRUE
음악대학,미술대학,AJ,없음,없음,1,"목발, 휠체어",음악대학 지하 1층으로 내려가면 미술대학과 이어지는 공간이 나옴,,,,,2026. 5. 22,TRUE
음악대학,약학대학,AK,없음,없음,1,"목발, 휠체어",음악대학 지하 1층으로 내려가면 약학대학과 이어지는 공간이 나옴,,,,,2026. 5. 22,TRUE
약학대학,눈꽃광장,AL,없음,없음,1,"목발,휠체어",약학대학 지하 1층으로 내려가면 눈꽃광장홀로 가는 문이 나옴,,,,,2026. 5. 22,TRUE
약학대학,음악대학,AM,없음,없음,1,"목발, 휠체어",약학대학 지하 1층으로 내려가면 음악대학과 이어지는 공간이 나옴,,,,,2026. 5. 22,TRUE
약학대학,백주년기념관,AN,없음,없음,1,"목발, 휠체어",약학 지하 3층으로 내려간 뒤 지하주차장을 통해 백주년기념관으로 이동,,,,,2026. 5. 22,TRUE
백주년기념관,눈꽃광장,AO,없음,없음,1,"목발, 휠체어",백주년 기념관에서 나와 왼쪽 골목으로 꺾으면 눈꼴광장이 나옴,,,,,2026. 5. 22,TRUE
다목적관,정문,AP,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 자동문을 지나 신호등을 건너서 정문으로 이동,,,,,2026. 5. 22,TRUE
다목적관,프라임관,AQ,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 자동문을 지나 신호등을 건너면 프라임관이 나옴,,,,,2026. 5. 21,TRUE
다목적관,과학관,AR,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 골목을 통해 들어가면 과학관이 나옴,,,,,2026. 5. 22,TRUE
다목적관,중앙도서관,AS,없음,없음,1,"목발, 휠체어",다목적관 뒷문으로 나와 골목을 통해 들어가면 도서관이 나옴,,,,,,TRUE
과학관,정문,AT,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 정문으로 이동,,,,,,TRUE
과학관,프라임관,AU,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 프라임관으로 이동,,,,,,TRUE
과학관,다목적관,AV,없음,없음,1,"목발, 휠체어",과학관에서 나와 골목을 지나서 다목적관 뒷문으로 들어갈 수 있음,,,,,,TRUE
과학관,중앙도서관,AW,없음,없음,1,"목발, 휠체어",과학관에서 나와 바로 앞 도서관으로 이동,,,,,,TRUE
중앙도서관,정문,AX,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 정문으로 이동,,,,,,TRUE
중앙도서관,프라임관,AY,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 자동문을 통과한 뒤 신호등을 건너서 프라임관으로 이동,,,,,,TRUE
중앙도서관,다목적관,AZ,없음,없음,1,"목발, 휠체어",도서관에서 나와 과학관 앞을 지나 골목을 지나서 다목적관 뒷문으로 들어갈 수 있음,,,,,,TRUE
중앙도서관,과학관,BA,없음,없음,1,"목발, 휠체어",중앙도서관에서 나와 바로 앞의 과학관으로 이동,,,,,,TRUE